2022	11	3	15	52	1	5.9
2022	11	2	6	6	1	4.7
2022	11	1	19	11	1	5.7
2022	11	1	3	2	1	3.6
2022	11	1	9	41	1	4.8
2022	11	1	14	7	1	7.8
2022	11	1	23	26	1	6.2
2022	11	4	12	26	1	11.5
2022	11	5	10	2	1	7.0
2022	11	3	18	11	1	6.0
2022	10	30	18	17	1	9.9
2022	10	30	8	26	1	9.7
2022	10	30	14	11	1	10.6
2022	10	31	19	37	1	8.1
2022	11	1	23	21	1	6.2
2022	10	30	15	2	1	10.3
2022	11	3	19	36	1	5.4
2022	11	3	4	42	1	2.6
2022	10	31	20	51	1	7.7
2022	10	30	20	17	1	9.8
2022	10	31	3	21	1	9.6
2022	11	2	18	21	1	5.8
2022	11	1	1	52	1	4.5
2022	11	3	15	31	1	5.7
2022	11	5	5	2	1	6.0
2022	11	4	0	12	1	6.4
2022	11	3	12	31	1	6.2
2022	10	31	13	32	1	11.6
2022	11	5	23	1	1	6.8
2022	10	31	14	17	1	11.8
2022	10	31	14	47	1	12.0
2022	11	1	10	2	1	5.3
2022	11	4	19	47	1	12.7
2022	11	1	1	12	1	5.1
2022	11	4	16	26	1	12.8
2022	11	4	23	41	1	8.0
2022	11	5	7	57	1	5.5
2022	10	30	12	56	1	10.1
2022	11	1	7	17	1	2.7
2022	10	30	15	47	1	10.4
2022	11	2	9	17	1	4.9
2022	11	1	11	41	1	8.1
2022	10	31	22	1	1	7.3
2022	11	3	3	42	1	1.8
2022	10	31	19	26	1	8.2
2022	10	31	13	52	1	11.4
2022	11	2	4	13	1	6.9
2022	11	1	1	16	1	5.1
2022	11	3	11	52	1	6.2
2022	10	31	2	41	1	9.5
